id,employee_id,language_id
1,1,38
2,2,38
3,2,173
4,3,6
5,3,12
6,3,66
7,4,38
8,4,167
9,5,38
10,6,38
11,6,108
12,7,38
13,8,38
14,8,105
15,8,157
16,9,38
17,10,35
18,11,49
19,11,98
20,12,38
21,12,161
22,13,38
23,14,38
24,15,38
25,15,17
26,16,38
27,17,38
28,17,10
29,18,38
30,19,38
31,20,65
32,20,167
33,21,38
34,22,138
35,23,167
36,23,33
37,24,10
38,24,89
39,25,38
40,25,168
41,26,38
42,26,49
43,26,121
44,27,38
45,28,21
46,28,105
47,29,38
48,30,38
49,30,54
50,30,118
51,31,38
52,32,38
53,33,64
54,33,148
55,33,94
56,34,38
57,35,38
58,35,35
59,35,177
60,36,38
61,36,124
62,36,48
63,37,32
64,37,29
65,37,99
66,38,38
67,38,180
68,39,38
69,40,38
70,41,142
71,41,163
72,42,38
73,42,73
74,43,38
75,43,27
76,43,117
77,44,38
78,45,38
79,45,27
80,46,38
81,47,38
82,47,136
83,48,38
84,48,112
85,49,38
86,50,38
87,51,47
88,51,64
89,51,52
90,52,38
91,53,51
92,53,53
93,54,38
94,54,25
95,55,38
96,55,121
97,56,38
98,57,25
99,57,28
100,58,180
101,59,38
102,60,153
103,60,143
104,61,38
105,62,38
106,63,44
107,64,38
108,64,71
109,64,44
110,65,134
111,65,56
112,65,36
113,66,54
114,67,26
115,67,89
116,68,38
117,68,62
118,69,38
119,69,168
120,69,133
121,70,3
122,70,106
123,71,38
124,71,162
125,72,38
126,73,38
127,74,14
128,74,97
129,75,38
130,76,38
131,76,120
132,76,26
133,77,38
134,77,45
135,78,38
136,78,171
137,78,177
138,79,38
139,80,38
140,80,16
141,81,38
142,82,38
143,83,38
144,84,181
145,85,38
146,86,73
147,86,170
148,86,118
149,87,140
150,88,118
151,88,176
152,88,17
153,89,30
154,89,82
155,90,15
156,91,38
157,92,38
158,92,69
159,93,39
160,94,38
161,94,52
162,94,138
163,95,38
164,96,38
165,97,38
166,98,64
167,99,172
168,100,182
169,100,154
170,100,173
171,101,38
172,102,38
173,103,38
174,104,8
175,104,79
176,104,120
177,105,73
178,106,38
179,107,38
180,108,38
181,109,64
182,109,168
183,110,38
184,111,119
185,112,2
186,112,119
187,113,38
188,114,5
189,115,38
190,115,95
191,115,36
192,116,70
193,116,146
194,116,145
195,117,38
196,118,38
197,119,14
198,119,27
199,119,45
200,120,38
201,121,3
202,121,76
